,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133
0,119.019684,238.01414,246.81276,355.32962,222.43561,355.13788,249.55424,444.58478,387.2736,240.39511,364.4034,438.5435,453.89984,174.56024,251.2747,135.79916,436.285,413.60193,173.23805,339.62445,237.43959,408.96292,365.1219,304.46527,465.18372,329.5105,462.05975,457.79733,210.83723,418.56873,252.5758,361.15027,301.68927,409.1092,346.71368,214.76817,413.6251,324.57632,413.82056,412.9551,362.53815,459.4817,248.88478,440.82632,413.33124,404.13943,384.48068,474.34222,324.32138,376.5371,417.71658,355.2603,347.15076,404.3796,329.5584,424.33344,388.40933,155.31184,413.659,410.7363,407.94086,436.6313,429.8356,415.04742,328.4877,236.38033,366.6865,223.98946,372.61743,373.7471,393.9918,371.1592,225.6316,267.6046,420.67386,390.84552,344.36075,351.99326,393.33453,302.86435,399.9832,325.24258,477.6908,419.22122,527.4015,432.28036,189.85265,436.33527,442.825,418.2727,484.44128,360.24017,596.49347,315.64877,390.4405,442.88797,352.5409,349.8988,435.7399,294.21912,438.07172,313.9105,160.53302,411.28433,417.34705,423.85956,441.94324,426.0311,433.2817,363.1381,304.15527,422.93057,238.86197,435.18286,381.30093,445.22528,367.72946,307.33228,272.5594,412.49152,406.86594,376.47296,334.76877,364.54904,276.87915,394.23883,378.5473,420.81522,426.6926,432.33505,439.6859,442.38602,439.97,444.72305
1,118.86625,237.88594,247.09251,355.4059,222.49568,355.35617,249.67651,444.4769,387.34,240.7676,364.63025,438.2322,453.8546,174.64673,251.40303,135.7202,436.4919,413.6434,173.34634,339.88345,237.53117,409.3902,365.68613,304.95663,465.16006,329.724,462.17496,458.38223,210.96835,418.69754,252.78935,361.6958,301.7611,409.33444,346.9657,214.9708,413.68243,325.00912,414.33456,413.0926,362.78625,459.1435,249.29086,441.20065,413.55695,404.62512,384.85345,474.5086,324.64795,376.8828,417.84784,355.71097,347.2732,404.62805,329.97577,424.4977,388.5708,155.54546,413.99573,410.91254,407.9157,436.3946,430.10574,415.30148,328.50922,236.78198,366.75296,224.0018,372.9438,373.91406,394.05737,371.5877,225.92888,267.67236,420.5854,391.4593,344.77344,352.7975,393.56076,303.52316,400.05246,325.80814,477.6288,419.7236,527.199,432.7438,189.63861,434.10553,442.83087,418.1526,484.438,360.69562,596.61176,315.6996,390.66907,443.20895,352.98508,349.95557,436.07816,294.36243,437.95914,314.04623,160.94835,411.658,417.22668,423.99823,441.79294,426.3648,433.56293,363.8925,304.77744,422.97455,239.32413,435.18518,381.66116,445.27118,368.33926,307.38055,272.86758,412.71982,407.4487,376.61682,335.14352,365.18518,276.7947,394.7689,379.13574,421.11496,427.12476,432.91217,439.7911,441.54172,438.30106,443.4353
2,119.201614,237.85928,247.42465,355.24197,222.44229,355.74002,249.71748,445.01062,387.19742,240.69415,365.05667,438.1094,453.59863,174.69818,251.4717,135.66704,436.58163,413.409,173.48048,339.95676,237.53104,409.31937,365.8075,305.73053,465.03864,329.82773,462.33478,458.06882,211.28085,418.28177,252.95343,362.2066,301.80637,409.53168,346.89975,215.32088,413.38196,324.92072,414.31778,413.17218,362.59818,459.35657,249.64203,441.3809,413.4386,404.5575,384.98642,474.66254,324.5063,376.78543,417.79526,355.8944,347.3726,404.1822,330.21558,424.24823,388.5494,155.40811,414.30264,410.93317,407.55124,436.02408,429.9638,415.02548,328.60736,236.82953,366.575,224.18037,372.81277,373.93127,393.76135,371.62042,226.22198,267.3264,420.52692,391.46344,344.63385,352.84088,393.68265,303.52634,399.86267,325.94266,477.10727,419.65753,527.441,432.1803,189.71864,433.94986,442.88217,417.52582,484.29007,360.58057,596.7081,315.39734,390.5384,443.0288,353.0582,349.85666,436.00305,294.3843,437.835,313.4259,161.15224,411.62888,417.36237,423.74774,441.51184,426.42505,433.5193,363.76276,305.0101,422.8796,239.88951,435.33148,381.7413,445.34735,368.47662,307.6631,272.9329,412.52466,407.49387,376.86755,335.42426,365.54413,276.80954,394.66507,379.3168,420.9848,427.2973,432.90152,439.05365,441.8186,437.7213,441.9118
3,119.684715,237.91998,247.64522,355.0424,222.3074,355.95303,249.63213,445.67758,386.9206,240.2194,365.39203,438.08392,453.42865,174.59111,251.40785,135.60617,436.50546,413.0299,173.57411,339.77036,237.4752,408.57385,365.38358,306.14462,464.9174,329.71866,462.47598,457.10345,211.54013,417.7086,252.91826,362.39673,301.7626,409.34445,346.6139,215.50053,412.92868,324.29504,413.75345,413.15042,362.09338,459.96906,249.56389,441.11652,413.1598,404.0528,384.68924,474.75125,324.0704,376.28116,417.6334,355.61115,347.4758,403.33847,330.1883,423.8239,388.2726,155.01523,414.31638,410.67673,407.25372,435.72665,429.43646,414.5131,328.64313,236.54213,366.31857,224.42021,372.23193,373.91086,393.36935,371.42648,226.29791,266.9891,420.57266,391.0033,344.03873,352.27548,393.69598,303.13718,399.57623,325.7561,476.4719,419.08768,528.10583,430.7085,190.02362,436.05237,443.05554,417.0533,484.10522,360.0077,596.7202,314.9533,390.08612,442.36603,352.7851,349.6751,435.55823,294.36096,437.78482,312.44873,160.95251,411.1732,417.48914,423.2198,441.33112,426.14832,433.19122,363.10596,304.7866,422.72595,240.0321,435.39432,381.44476,445.4307,367.86688,308.16632,272.7776,412.00607,406.78662,377.1237,335.5622,365.36435,277.06296,394.08557,378.9599,420.50446,427.06717,432.3131,437.79086,443.06635,438.5428,441.01846
4,119.907455,238.00977,247.69827,355.02982,222.27104,355.82767,249.50754,445.97278,386.7343,239.79529,365.4513,438.03848,453.64352,174.39148,251.32184,135.53104,436.33194,412.7673,173.57173,339.51016,237.43182,407.64865,364.90952,305.90192,464.92245,329.39337,462.62842,456.4131,211.62053,417.37662,252.73412,362.2147,301.5775,408.71985,346.417,215.39359,412.65103,323.5944,413.1111,413.0054,361.7604,460.48007,249.09952,440.44473,412.94238,403.6728,384.179,474.8475,323.67783,375.80176,417.51965,355.07617,347.54095,402.80887,329.98273,423.572,387.88074,154.74655,414.00928,410.19586,407.40182,435.5163,428.83603,414.29507,328.57382,236.21411,366.13013,224.65063,371.57916,373.9257,393.24893,371.24057,226.07802,267.09918,420.72592,390.49164,343.48233,351.80392,393.72342,302.91486,399.4007,325.52814,476.15054,418.56168,528.7965,429.2854,190.27649,439.01996,443.258,417.18356,484.09024,359.33365,596.67786,314.7201,389.6824,441.52673,352.38287,349.53247,435.0624,294.37787,437.7897,311.8742,160.46063,410.67767,417.3961,422.8494,441.38785,425.84296,432.8255,362.59018,304.33096,422.59906,239.74591,435.2407,381.04987,445.52737,367.00507,308.64835,272.60245,411.58466,405.92804,377.38074,335.62613,364.69785,277.41458,393.66327,378.29642,420.03384,426.67575,431.59616,436.87115,444.56497,440.32462,441.45215
5,119.81931,238.1035,247.65138,355.1972,222.45697,355.60284,249.51013,445.93326,386.82245,239.8482,365.3139,438.07986,454.20145,174.28879,251.37642,135.50844,436.21927,412.81305,173.48158,339.44855,237.43513,407.2559,364.9153,305.30844,465.111,329.02676,462.83292,456.64777,211.57228,417.32996,252.59769,361.87103,301.30444,408.14185,346.4703,215.15222,412.72452,323.36383,412.8241,412.80405,361.94653,460.56012,248.66956,439.6907,412.78574,403.81555,383.89743,475.0295,323.47238,375.7579,417.55518,354.75177,347.48398,403.0692,329.75275,423.53027,387.6505,154.85959,413.62863,409.7103,407.8759,435.2538,428.46243,414.5671,328.55,236.13788,366.0267,224.89043,371.2684,373.8688,393.48038,371.03027,225.72964,267.59485,420.92035,390.10257,343.33392,351.86594,393.83557,303.03326,399.43964,325.4735,476.26645,418.4934,529.02704,428.83142,190.31758,441.14886,443.2237,417.61322,484.30112,358.83212,596.69183,314.7909,389.6401,440.90887,352.0279,349.4712,434.79956,294.3998,437.81165,312.14764,160.0189,410.51047,417.24335,422.95743,441.66736,425.7957,432.62827,362.4938,303.91464,422.5104,239.51796,435.07025,380.92075,445.67764,366.63828,308.7595,272.53284,411.5933,405.7545,377.5714,335.65952,363.92032,277.5596,393.7324,377.737,419.88553,426.5474,431.20206,436.9795,445.5249,442.23587,443.2369
6,119.70992,238.2262,247.61737,355.33017,222.77827,355.68265,249.71661,446.0273,387.14703,240.34586,365.204,438.453,454.7088,174.3645,251.57076,135.58803,436.30948,413.12164,173.40216,339.66275,237.48651,407.6773,365.3637,304.93,465.42133,328.8917,463.02487,457.49933,211.5032,417.36005,252.65019,361.6952,301.09686,408.23428,346.63342,215.01575,413.03564,323.77344,412.90662,412.67322,362.48322,460.37784,248.63039,439.23254,412.57373,404.2871,384.08347,475.31052,323.3926,376.1681,417.72842,354.9139,347.32434,403.91885,329.63025,423.47647,387.72775,155.19182,413.4786,409.4732,408.1635,434.9218,428.40564,415.02664,328.74792,236.36006,365.9976,225.17151,371.44943,373.6014,393.77762,370.65042,225.54738,267.96143,421.09607,389.7235,343.5184,352.2054,393.9594,303.1603,399.65524,325.62228,476.56906,418.7507,528.70734,429.4473,190.24681,441.77856,442.77737,417.67578,484.53186,358.623,596.8617,314.91174,389.86993,440.8236,351.8251,349.44897,434.79544,294.34747,437.84528,312.97458,159.87883,410.6469,417.33264,423.36526,441.99472,425.92203,432.58386,362.5287,303.70007,422.37106,239.73044,435.19333,381.15204,445.86966,366.97992,308.35196,272.53036,411.9224,406.46683,377.46753,335.61188,363.48734,277.37964,393.9698,377.55374,420.04102,426.9062,431.168,438.0379,445.62704,443.53387,445.51236
7,119.80689,238.38885,247.65263,355.26764,223.02306,356.1717,250.01172,446.55435,387.4672,240.8232,365.2496,439.17484,454.78464,174.4941,251.71341,135.69676,436.60165,413.43918,173.45354,339.94284,237.59474,408.5564,365.70627,305.03503,465.70197,329.12033,463.05588,458.0439,211.45877,417.34662,252.84003,361.87592,301.08102,409.08017,346.6676,215.08665,413.30493,324.496,413.08908,412.67538,362.87048,460.3597,248.93433,439.25662,412.35995,404.52066,384.5408,475.66953,323.41205,376.6962,417.9422,355.3807,347.21866,404.67993,329.6826,423.3069,387.9701,155.30707,413.66724,409.58734,407.94833,434.76218,428.59155,415.24905,329.1266,236.64465,366.1056,225.43834,371.96246,373.21063,393.82336,370.24557,225.68929,267.80252,421.23932,389.3502,343.7186,352.2663,393.96808,302.97342,399.91934,325.81476,476.7348,418.89282,528.28314,430.49066,190.24232,441.50323,442.1004,417.16647,484.5122,358.77744,597.1774,314.81473,390.01984,441.3619,351.88242,349.4241,434.89005,294.2501,437.88104,313.63702,159.9782,410.75778,417.64545,423.57904,442.10907,425.8929,432.5401,362.28424,303.71906,422.09836,240.21484,435.5906,381.50574,445.96924,367.55643,307.66486,272.53888,412.16217,407.42706,376.91986,335.44296,363.60822,277.10886,393.8772,377.7158,420.21347,427.53992,431.16757,439.30444,445.19812,443.92264,446.9937
8,119.97889,238.5174,247.71298,355.08118,223.06772,356.7332,250.18791,447.27658,387.55457,240.84966,365.39502,439.8643,454.43683,174.50706,251.63731,135.67282,436.93225,413.51422,173.64935,339.99234,237.77121,409.26544,365.5185,305.42307,465.81326,329.53598,462.85104,457.72153,211.4293,417.3853,252.98354,362.2804,301.2379,410.05402,346.52222,215.27727,413.33502,325.0068,413.21066,412.73434,362.806,460.6709,249.24973,439.68817,412.3927,404.19522,384.84924,476.07135,323.63507,377.01398,418.07083,355.70456,347.2862,404.82614,329.8704,423.22064,388.1081,154.96555,414.06198,409.92834,407.48132,435.0477,428.92337,415.11642,329.4178,236.65216,366.3835,225.58214,372.50558,373.0078,393.61926,370.27493,226.02832,267.28296,421.32632,389.31308,343.7838,351.88623,393.8262,302.61954,400.08023,325.7792,476.70187,418.7258,528.2913,431.29025,190.31485,441.23322,441.64227,416.5689,484.2311,359.3113,597.5158,314.5505,389.931,442.31653,352.2602,349.40747,434.9864,294.2356,437.8674,313.71185,160.0594,410.61108,417.8049,423.37225,441.87372,425.57483,432.46695,361.69708,303.88602,421.80258,240.4751,435.8555,381.66718,445.83813,367.80527,307.1561,272.60703,412.09055,407.8288,376.19116,335.2578,364.118,277.08496,393.47034,377.99478,420.19568,427.9368,430.96616,440.01144,444.87402,443.64236,446.93326
9,119.89071,238.47519,247.70053,354.96396,222.95969,356.9414,250.15018,447.68466,387.3943,240.44896,365.52545,440.05258,454.04752,174.39821,251.40451,135.42953,437.1107,413.2966,173.84819,339.71786,237.96814,409.43057,364.9663,305.76184,465.73608,329.7784,462.519,456.87567,211.42055,417.5952,252.94984,362.55112,301.42752,410.4331,346.3626,215.43866,413.14993,325.02036,413.35895,412.71442,362.46133,461.02606,249.3502,440.28775,412.7961,403.56973,384.79422,476.4136,324.10638,377.07486,418.0252,355.63782,347.4334,404.41187,330.0349,423.49286,388.05313,154.4138,414.4487,410.2724,407.27805,435.73962,429.3286,414.8271,329.38873,236.21254,366.65634,225.57863,372.84854,373.1973,393.4365,370.9969,226.27309,266.93375,421.26904,389.93954,343.83417,351.45294,393.61792,302.53998,400.02512,325.30115,476.6814,418.50275,528.767,431.65637,190.31256,441.20578,441.70007,416.42682,484.00638,360.042,597.74615,314.4127,389.8261,443.2427,352.82315,349.43372,435.17358,294.35214,437.76117,313.39523,159.97467,410.3091,417.56143,423.0584,441.4825,425.2362,432.56607,361.03824,304.02725,421.8165,240.27617,435.67642,381.5303,445.56985,367.66962,307.1196,272.7937,411.92023,407.47946,375.8625,335.24994,364.66196,277.35745,393.2848,378.18964,420.0952,427.71457,430.7517,439.93298,445.01233,443.2079,445.7583
